id,isbn13,isbn10,title,language,binding,release_date,edition,pages,dimensions,rating,publisher,author,copies
215,9781575257624,1575257629,The Best New Playwrights 2009,English,Paperback,2009-12-01,,356,5.30 (w) x 8.40 (h) x 0.80 (d),4.8,"Smith & Kraus, Inc.","Lawrence Harbison (Editor), Gina Gionfriddo",15
216,9780375703003,375703004,The Vintage Book of African American Poetry,English,Paperback,2000-02-01,1,448,5.19 (w) x 7.98 (h) x 0.94 (d),4.0,Knopf Doubleday Publishing Group,"Michael S. Harper (Editor), Anthony Walton",15
217,9780385422437,385422431,Crossing the Danger Water: Three Hundred Years of African-American Writing,English,Paperback,1993-09-01,1,800,6.10 (w) x 9.20 (h) x 1.70 (d),1.6,Knopf Doubleday Publishing Group,"Deirdre Mullane (Editor), Deirdre Mullane",6
218,9781575255897,1575255898,2007: The Best Ten-Minute Plays for Two Actors,English,Paperback,2008-04-01,New Edition,256,5.30 (w) x 8.40 (h) x 0.70 (d),1.8,"Smith & Kraus, Inc.","Lawrence Harbison, D. L. Lepidus",19
219,9781604330373,1604330376,The Hudson River Valley Reader,English,Hardcover,2009-03-01,,,,1.6,Cider Mill Press,Edward C. Goodman,6
220,9780553375183,553375180,Three Centuries of American Poetry,English,Paperback,1999-03-01,,,,3.2,Random House Publishing Group,"Allen Mandelbaum (Editor), Robert D. Richardson",13
221,9780965834445,965834441,Down Time: Great Writers on Diving,English,Paperback,2001-04-01,2,288,6.00 (w) x 9.00 (h) x 0.73 (d),3.6,Look Away Books,"Ed Kittrell, Casey Kittrell (Editor), Jim Kittrell (Editor), Casey Kittrell (Editor), Jim Kittrell",16
222,9780375414589,375414584,Blues Poems (Everyman's Library Pocket Poets),English,Hardcover,2003-09-01,,256,4.22 (w) x 6.63 (h) x 0.78 (d),2.0,Knopf Doubleday Publishing Group,"Kevin Young, Kevin Young",5
223,9780807028230,807028231,Age Ain't Nothing But a Number: Black Women Explore Midlife,English,Paperback,2003-05-01,,256,5.50 (w) x 8.50 (h) x 0.50 (d),2.7,Beacon,Carleen Brice,11
224,9780874177596,874177596,Literary Nevada: Writings from the Silver State,English,Paperback,2008-08-01,New Edition,896,6.16 (w) x 10.86 (h) x 2.15 (d),3.9,University of Nevada Press,Cheryll Glotfelty,12
225,9780822220428,822220423,Nickel and Dimed,English,Paperback,2005-11-01,,67,5.30 (w) x 8.40 (h) x 0.50 (d),2.5,"Dramatists Play Service, Incorporated","Joan Holden, Barbara Ehrenreich",1
